CGPA,Internships,Projects,Workshops/Certification,AptitudeTestScore,Skill Test Score,ExtracurricularActivities,PlacementTraining,SSC_Marks,HSC_Marks,PlacementStatus
3.33,1,1,1,65,4.4,No,No,61,79,NotPlaced
3.96,0,3,2,90,4,Yes,Yes,78,82,Placed
3.24,1,2,2,82,4.8,Yes,No,79,80,NotPlaced
3.33,1,1,2,85,4.4,Yes,Yes,81,80,Placed
3.69,1,2,2,86,4.5,Yes,Yes,74,88,Placed
3.11,0,2,2,71,4.2,Yes,No,55,66,NotPlaced
3.42,1,1,1,76,4,No,No,62,65,NotPlaced
3.42,2,1,0,85,3.5,Yes,Yes,59,72,NotPlaced
2.89,1,1,0,84,3.9,No,Yes,75,71,NotPlaced
3.47,1,3,2,79,4.4,Yes,Yes,85,86,Placed
3.69,2,3,2,90,4.8,Yes,Yes,82,88,Placed
3.51,1,3,2,90,4.8,Yes,Yes,71,87,Placed
3.69,2,3,2,90,4.5,Yes,Yes,84,83,Placed
3.42,1,1,1,74,4.6,No,Yes,63,73,NotPlaced
3.33,1,1,1,66,4.1,No,No,61,66,NotPlaced
3.29,0,2,1,78,4.4,No,No,63,66,NotPlaced
3.82,0,3,0,84,4.8,Yes,Yes,62,78,Placed
3.64,2,3,2,90,4.7,Yes,Yes,84,86,Placed
3.02,2,3,0,73,4.4,Yes,Yes,72,82,Placed
3.29,1,2,0,70,4.4,No,Yes,58,63,NotPlaced
3.38,2,1,0,84,4.4,No,Yes,77,75,Placed
3.29,1,2,1,72,3.5,No,Yes,82,69,Placed
3.42,0,1,0,77,3.4,No,Yes,55,72,Placed
3.29,1,1,0,60,3.8,No,No,55,71,NotPlaced
3.29,1,2,1,90,4.3,No,Yes,56,69,NotPlaced
2.98,1,1,1,70,4,No,No,68,57,NotPlaced
3.29,2,3,2,78,4.3,Yes,Yes,76,82,NotPlaced
3.69,1,1,1,81,4.5,Yes,Yes,64,65,NotPlaced
3.33,1,2,1,84,4.4,No,No,66,73,NotPlaced
3.11,0,1,1,63,3.9,No,Yes,60,61,NotPlaced
3.73,2,3,2,90,4.6,Yes,Yes,55,80,Placed
3.29,1,2,1,76,4.7,No,Yes,66,69,NotPlaced
3.78,1,3,0,90,4.8,Yes,Yes,85,85,Placed
3.82,1,2,2,75,4.3,Yes,Yes,62,80,Placed
3.07,0,1,0,70,3.9,No,Yes,79,68,Placed
3.47,1,1,1,67,4.3,No,No,65,73,NotPlaced
3.69,1,2,2,89,4.8,Yes,Yes,75,81,Placed
3.64,1,2,2,77,4.2,No,Yes,72,72,Placed
3.78,2,3,3,90,4.7,Yes,Yes,79,86,Placed
2.98,0,3,2,88,4.2,Yes,Yes,72,86,Placed
3.82,2,3,1,90,4.8,Yes,Yes,63,84,Placed
3.69,2,3,2,85,4.8,Yes,Yes,77,83,Placed
2.98,0,1,1,72,4.4,No,No,55,60,NotPlaced
3.82,2,3,2,88,4.7,Yes,Yes,80,87,Placed
3.29,1,3,0,86,4.8,No,Yes,70,73,NotPlaced
2.98,1,1,2,73,4.5,No,No,55,66,Placed
3.07,1,1,1,76,4.4,No,No,55,65,NotPlaced
3.11,1,1,0,62,4.3,No,Yes,59,67,NotPlaced
3.6,1,3,2,90,4.6,Yes,Yes,77,87,Placed
3.42,1,2,0,74,3.8,Yes,No,55,66,NotPlaced
2.89,0,2,1,77,4.8,No,Yes,56,65,NotPlaced
3.64,1,3,0,65,4.1,Yes,No,66,65,NotPlaced
3.6,2,3,2,90,4.7,Yes,Yes,82,82,Placed
2.89,1,2,1,80,4.5,Yes,Yes,72,67,NotPlaced
2.89,0,2,1,72,4.5,No,No,57,69,NotPlaced
3.91,2,3,2,90,4.8,Yes,Yes,86,88,Placed
3.56,1,1,0,74,4.5,Yes,Yes,55,65,NotPlaced
3.73,2,2,2,81,4.6,Yes,Yes,77,82,Placed
3.56,1,1,0,86,4.2,No,No,55,83,NotPlaced
2.93,0,1,0,76,3.9,No,Yes,78,69,Placed
3.42,2,2,0,86,4,Yes,Yes,79,64,NotPlaced
3.64,1,2,1,86,4.3,Yes,Yes,86,63,Placed
3.2,1,2,0,74,4.1,No,No,70,65,NotPlaced
2.93,1,2,1,72,4.1,No,No,55,75,NotPlaced
3.38,1,2,0,77,4.6,Yes,No,84,67,NotPlaced
3.56,0,3,0,68,4.2,Yes,No,64,83,Placed
3.47,2,3,2,87,4.8,Yes,No,90,83,NotPlaced
3.2,1,1,0,82,4.6,Yes,Yes,57,64,NotPlaced
3.42,1,1,0,74,4.1,No,Yes,57,68,Placed
3.73,1,1,2,67,3.8,Yes,Yes,76,69,NotPlaced
3.33,1,1,1,69,4.3,No,Yes,71,76,NotPlaced
2.98,0,2,1,79,4.1,No,No,78,67,NotPlaced
3.6,2,3,2,90,4.8,Yes,Yes,80,86,Placed
3.33,1,2,0,73,4.4,No,No,66,84,NotPlaced
3.29,2,1,0,75,4.2,No,Yes,65,84,NotPlaced
2.89,1,1,0,63,4.5,No,Yes,57,68,NotPlaced
3.6,1,3,1,90,4.6,Yes,Yes,73,86,Placed
3.07,1,1,0,83,3.5,No,Yes,61,71,NotPlaced
3.64,1,3,0,83,4.8,Yes,Yes,71,84,Placed
3.38,1,2,1,72,3.9,No,Yes,58,66,NotPlaced
2.93,1,1,1,69,3.6,No,Yes,55,72,NotPlaced
2.98,1,2,1,74,4.8,Yes,Yes,72,64,Placed
3.64,2,3,2,76,4.5,Yes,Yes,73,82,NotPlaced
3.69,2,3,1,90,4.2,Yes,Yes,82,83,Placed
3.38,0,2,0,86,4.8,Yes,Yes,57,72,Placed
2.98,1,3,0,87,4.6,Yes,No,81,69,NotPlaced
3.6,0,2,1,84,3.8,No,No,71,68,NotPlaced
3.78,1,2,2,79,3.9,Yes,Yes,76,66,Placed
3.91,1,3,0,76,4.7,Yes,Yes,75,84,Placed
3.2,1,2,0,68,4.2,Yes,Yes,57,66,NotPlaced
3.38,1,1,0,80,4.5,Yes,Yes,66,67,NotPlaced
3.16,1,1,0,70,3.3,No,No,55,66,NotPlaced
3.6,1,3,2,89,4.6,Yes,Yes,86,80,Placed
3.29,1,3,0,83,4.2,No,Yes,65,82,NotPlaced
3.42,2,2,2,85,4.8,Yes,Yes,74,83,NotPlaced
3.33,0,1,1,75,3.3,No,Yes,61,73,NotPlaced
3.33,1,1,0,64,4,No,No,73,66,NotPlaced
3.47,2,2,2,90,4.8,Yes,No,81,82,Placed
3.42,1,3,1,89,4.6,No,Yes,61,84,Placed
3.51,0,1,2,83,4.8,Yes,No,58,81,NotPlaced
3.29,1,2,1,63,3.9,No,No,55,67,NotPlaced
3.24,1,1,0,80,4.7,No,Yes,64,65,NotPlaced
2.89,1,1,1,62,3.8,No,Yes,58,65,NotPlaced
3.33,2,1,1,76,4.2,Yes,Yes,57,80,NotPlaced
2.89,1,1,0,68,4.1,No,No,61,66,NotPlaced
3.78,2,3,2,90,4.8,Yes,Yes,72,87,Placed
2.98,0,1,1,74,3.9,No,No,55,70,NotPlaced
2.89,0,1,0,82,4.4,No,No,65,69,NotPlaced
3.6,1,3,2,90,4.8,Yes,Yes,79,84,Placed
3.87,2,3,2,90,4.8,Yes,Yes,79,85,Placed
3.56,1,1,3,84,4,No,Yes,57,61,NotPlaced
3.24,1,3,1,81,4.2,Yes,Yes,69,65,NotPlaced
3.29,1,1,1,81,4.1,Yes,No,55,62,NotPlaced
3.82,2,3,0,81,4.7,Yes,No,71,83,Placed
2.98,2,1,2,76,4.8,Yes,No,55,78,NotPlaced
3.38,1,1,1,67,3.5,No,No,55,67,NotPlaced
3.91,1,3,2,90,4.6,Yes,Yes,83,83,Placed
2.89,1,2,0,65,4.4,No,Yes,61,68,NotPlaced
2.89,1,2,1,78,4.2,No,No,62,62,NotPlaced
3.29,1,2,1,75,4.2,No,Yes,55,74,NotPlaced
3.87,2,3,2,81,4.7,Yes,Yes,85,79,Placed
3.56,1,1,1,68,4.2,No,Yes,59,66,NotPlaced
3.42,1,3,2,90,4.8,Yes,No,80,85,Placed
3.24,1,1,0,64,3.2,No,Yes,58,67,NotPlaced
3.73,2,1,2,76,4.1,No,No,56,63,NotPlaced
3.42,1,2,0,73,4,No,Yes,65,75,Placed
3.33,1,1,1,68,4.7,No,No,58,64,NotPlaced
